sequence_id,predicted_genome,decision_type,k3_prediction,k5_prediction,k7_prediction,vote_counts
143,NC_015656,unanimous,8,8,8,"{8: 3}"
144,NC_015656,unanimous,8,8,8,"{8: 3}"
145,NC_015656,unanimous,8,8,8,"{8: 3}"
146,NC_015656,unanimous,8,8,8,"{8: 3}"
147,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
148,NC_015656,unanimous,8,8,8,"{8: 3}"
149,NC_015859,unanimous,1,1,1,"{1: 3}"
150,NC_015656,majority,8,3,8,"{8: 2; 3: 1}"
151,NC_015859,unanimous,1,1,1,"{1: 3}"
152,NC_015656,unanimous,8,8,8,"{8: 3}"
153,NC_015656,unanimous,8,8,8,"{8: 3}"
154,NC_015656,unanimous,8,8,8,"{8: 3}"
155,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
156,NC_015859,unanimous,1,1,1,"{1: 3}"
157,NC_009767,unanimous,3,3,3,"{3: 3}"
158,NC_015859,majority,1,7,1,"{1: 2; 7: 1}"
159,NC_009767,majority,3,3,7,"{3: 2; 7: 1}"
160,NC_015859,unanimous,1,1,1,"{1: 3}"
161,NC_009767,unanimous,3,3,3,"{3: 3}"
162,NC_015656,unanimous,8,8,8,"{8: 3}"
163,NC_015656,unanimous,8,8,8,"{8: 3}"
164,NC_009511,unanimous,7,7,7,"{7: 3}"
165,NC_015656,unanimous,8,8,8,"{8: 3}"
166,NC_015656,unanimous,8,8,8,"{8: 3}"
167,NC_015656,unanimous,8,8,8,"{8: 3}"
168,NC_015656,unanimous,8,8,8,"{8: 3}"
169,NC_015656,unanimous,8,8,8,"{8: 3}"
170,NC_015656,unanimous,8,8,8,"{8: 3}"
171,NC_009511,unanimous,7,7,7,"{7: 3}"
172,NC_015656,unanimous,8,8,8,"{8: 3}"
173,NC_009511,unanimous,7,7,7,"{7: 3}"
174,NC_009511,unanimous,7,7,7,"{7: 3}"
175,NC_011138,unanimous,6,6,6,"{6: 3}"
176,NC_015656,unanimous,8,8,8,"{8: 3}"
177,NC_009767,unanimous,3,3,3,"{3: 3}"
178,NC_015859,unanimous,1,1,1,"{1: 3}"
179,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
180,NC_015859,unanimous,1,1,1,"{1: 3}"
181,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
182,NC_015656,unanimous,8,8,8,"{8: 3}"
183,NC_015656,unanimous,8,8,8,"{8: 3}"
184,NC_015656,unanimous,8,8,8,"{8: 3}"
185,NC_015656,unanimous,8,8,8,"{8: 3}"
186,NC_015656,unanimous,8,8,8,"{8: 3}"
187,NC_015656,unanimous,8,8,8,"{8: 3}"
188,NC_015656,unanimous,8,8,8,"{8: 3}"
189,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
190,NC_015656,unanimous,8,8,8,"{8: 3}"
191,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
192,NC_015656,unanimous,8,8,8,"{8: 3}"
193,NC_009511,unanimous,7,7,7,"{7: 3}"
194,NC_015656,unanimous,8,8,8,"{8: 3}"
195,NC_015656,unanimous,8,8,8,"{8: 3}"
196,NC_009511,unanimous,7,7,7,"{7: 3}"
197,NC_013943,unanimous,0,0,0,"{0: 3}"
198,NC_015656,unanimous,8,8,8,"{8: 3}"
199,NC_015859,unanimous,1,1,1,"{1: 3}"
200,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
201,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
202,NC_009511,majority,7,8,7,"{7: 2; 8: 1}"
203,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
204,NC_015859,unanimous,1,1,1,"{1: 3}"
205,NC_015656,unanimous,8,8,8,"{8: 3}"
206,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
207,NC_015656,unanimous,8,8,8,"{8: 3}"
208,NC_015656,unanimous,8,8,8,"{8: 3}"
209,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
210,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
211,NC_009767,unanimous,3,3,3,"{3: 3}"
212,NC_009767,unanimous,3,3,3,"{3: 3}"
213,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
214,NC_015656,unanimous,8,8,8,"{8: 3}"
215,NC_015656,unanimous,8,8,8,"{8: 3}"
216,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
217,NC_009511,unanimous,7,7,7,"{7: 3}"
218,NC_015859,majority,1,3,1,"{1: 2; 3: 1}"
219,NC_015656,unanimous,8,8,8,"{8: 3}"
220,NC_008709,tie_breaker,6,0,9,"{6: 1; 0: 1; 9: 1}"
221,NC_015859,unanimous,1,1,1,"{1: 3}"
222,NC_015656,unanimous,8,8,8,"{8: 3}"
223,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
224,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
225,NC_015656,unanimous,8,8,8,"{8: 3}"
226,NC_015859,majority,7,1,1,"{7: 1; 1: 2}"
227,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
228,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
229,NC_015656,unanimous,8,8,8,"{8: 3}"
230,NC_015656,unanimous,8,8,8,"{8: 3}"
231,NC_015656,unanimous,8,8,8,"{8: 3}"
232,NC_009767,majority,8,3,3,"{8: 1; 3: 2}"
233,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
234,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
235,NC_015656,unanimous,8,8,8,"{8: 3}"
236,NC_015859,unanimous,1,1,1,"{1: 3}"
237,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
238,NC_015656,unanimous,8,8,8,"{8: 3}"
239,NC_015859,unanimous,1,1,1,"{1: 3}"
240,NC_015656,unanimous,8,8,8,"{8: 3}"
241,NC_015656,unanimous,8,8,8,"{8: 3}"
242,NC_015656,unanimous,8,8,8,"{8: 3}"
243,NC_015656,unanimous,8,8,8,"{8: 3}"
244,NC_009767,unanimous,3,3,3,"{3: 3}"
245,NC_009767,unanimous,3,3,3,"{3: 3}"
246,NC_015656,unanimous,8,8,8,"{8: 3}"
247,NC_015859,tie_breaker,7,8,1,"{7: 1; 8: 1; 1: 1}"
248,NC_015656,unanimous,8,8,8,"{8: 3}"
249,NC_015656,unanimous,8,8,8,"{8: 3}"
250,NC_015656,unanimous,8,8,8,"{8: 3}"
251,NC_015859,unanimous,1,1,1,"{1: 3}"
252,NC_015656,unanimous,8,8,8,"{8: 3}"
253,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
254,NC_015859,unanimous,1,1,1,"{1: 3}"
255,NC_015859,unanimous,1,1,1,"{1: 3}"
256,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
257,NC_015656,unanimous,8,8,8,"{8: 3}"
258,NC_015656,unanimous,8,8,8,"{8: 3}"
259,NC_015656,unanimous,8,8,8,"{8: 3}"
260,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
261,NC_015656,unanimous,8,8,8,"{8: 3}"
262,NC_015859,unanimous,1,1,1,"{1: 3}"
263,NC_015656,unanimous,8,8,8,"{8: 3}"
264,NC_015656,unanimous,8,8,8,"{8: 3}"
265,NC_015656,unanimous,8,8,8,"{8: 3}"
266,NC_015656,unanimous,8,8,8,"{8: 3}"
267,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
268,NC_009511,unanimous,7,7,7,"{7: 3}"
269,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
270,NC_009511,unanimous,7,7,7,"{7: 3}"
271,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
272,NC_009767,majority,3,3,0,"{3: 2; 0: 1}"
273,NC_015656,unanimous,8,8,8,"{8: 3}"
274,NC_015859,unanimous,1,1,1,"{1: 3}"
275,NC_015859,unanimous,1,1,1,"{1: 3}"
276,NC_015656,unanimous,8,8,8,"{8: 3}"
277,NC_015656,unanimous,8,8,8,"{8: 3}"
278,NC_015859,unanimous,1,1,1,"{1: 3}"
279,NC_015656,unanimous,8,8,8,"{8: 3}"
280,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
281,NC_015656,unanimous,8,8,8,"{8: 3}"
282,NC_015656,unanimous,8,8,8,"{8: 3}"
283,NC_015859,unanimous,1,1,1,"{1: 3}"
284,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
285,NC_015656,unanimous,8,8,8,"{8: 3}"
286,NC_015859,unanimous,1,1,1,"{1: 3}"
287,NC_015656,unanimous,8,8,8,"{8: 3}"
288,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
289,NC_015859,majority,1,3,1,"{1: 2; 3: 1}"
290,NC_015859,unanimous,1,1,1,"{1: 3}"
291,NC_015656,unanimous,8,8,8,"{8: 3}"
292,NC_015656,tie_breaker,1,7,8,"{1: 1; 7: 1; 8: 1}"
293,NC_015656,unanimous,8,8,8,"{8: 3}"
294,NC_013943,majority,3,0,0,"{3: 1; 0: 2}"
295,NC_009767,majority,1,3,3,"{1: 1; 3: 2}"
296,NC_015656,unanimous,8,8,8,"{8: 3}"
297,NC_015656,unanimous,8,8,8,"{8: 3}"
298,NC_009511,unanimous,7,7,7,"{7: 3}"
299,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
300,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
301,NC_015859,unanimous,1,1,1,"{1: 3}"
302,NC_009511,unanimous,7,7,7,"{7: 3}"
303,NC_015656,unanimous,8,8,8,"{8: 3}"
304,NC_015859,unanimous,1,1,1,"{1: 3}"
305,NC_009511,unanimous,7,7,7,"{7: 3}"
306,NC_015656,unanimous,8,8,8,"{8: 3}"
307,NC_015859,unanimous,1,1,1,"{1: 3}"
308,NC_015656,unanimous,8,8,8,"{8: 3}"
309,NC_015656,unanimous,8,8,8,"{8: 3}"
310,NC_015859,unanimous,1,1,1,"{1: 3}"
311,NC_015656,unanimous,8,8,8,"{8: 3}"
312,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
313,NC_015656,unanimous,8,8,8,"{8: 3}"
314,NC_009767,majority,3,3,1,"{3: 2; 1: 1}"
315,NC_015859,unanimous,1,1,1,"{1: 3}"
316,NC_009767,majority,1,3,3,"{1: 1; 3: 2}"
317,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
318,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
319,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
320,NC_015656,unanimous,8,8,8,"{8: 3}"
321,NC_015656,unanimous,8,8,8,"{8: 3}"
322,NC_015656,unanimous,8,8,8,"{8: 3}"
323,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
324,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
325,NC_015859,unanimous,1,1,1,"{1: 3}"
326,NC_015656,unanimous,8,8,8,"{8: 3}"
327,NC_015859,unanimous,1,1,1,"{1: 3}"
328,NC_015656,unanimous,8,8,8,"{8: 3}"
329,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
330,NC_015656,unanimous,8,8,8,"{8: 3}"
331,NC_009511,unanimous,7,7,7,"{7: 3}"
332,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
333,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
334,NC_015859,unanimous,1,1,1,"{1: 3}"
335,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
336,NC_015656,unanimous,8,8,8,"{8: 3}"
337,NC_009767,unanimous,3,3,3,"{3: 3}"
338,NC_015859,unanimous,1,1,1,"{1: 3}"
339,NC_015656,unanimous,8,8,8,"{8: 3}"
340,NC_015656,unanimous,8,8,8,"{8: 3}"
341,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
342,NC_009767,unanimous,3,3,3,"{3: 3}"
343,NC_015656,unanimous,8,8,8,"{8: 3}"
344,NC_015656,unanimous,8,8,8,"{8: 3}"
345,NC_015859,unanimous,1,1,1,"{1: 3}"
346,NC_009511,unanimous,7,7,7,"{7: 3}"
347,NC_015656,unanimous,8,8,8,"{8: 3}"
348,NC_015656,unanimous,8,8,8,"{8: 3}"
349,NC_009511,unanimous,7,7,7,"{7: 3}"
350,NC_009511,unanimous,7,7,7,"{7: 3}"
351,NC_013943,unanimous,0,0,0,"{0: 3}"
352,NC_015656,unanimous,8,8,8,"{8: 3}"
353,NC_015859,unanimous,1,1,1,"{1: 3}"
354,NC_015859,unanimous,1,1,1,"{1: 3}"
355,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
356,NC_009767,majority,1,3,3,"{1: 1; 3: 2}"
357,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
358,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
359,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
360,NC_015656,unanimous,8,8,8,"{8: 3}"
361,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
362,NC_015656,unanimous,8,8,8,"{8: 3}"
363,NC_015656,unanimous,8,8,8,"{8: 3}"
364,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
365,NC_015656,unanimous,8,8,8,"{8: 3}"
366,NC_015656,unanimous,8,8,8,"{8: 3}"
367,NC_009511,unanimous,7,7,7,"{7: 3}"
368,NC_015656,unanimous,8,8,8,"{8: 3}"
369,NC_015656,unanimous,8,8,8,"{8: 3}"
370,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
371,NC_009511,unanimous,7,7,7,"{7: 3}"
372,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
373,NC_009767,unanimous,3,3,3,"{3: 3}"
374,NC_015656,unanimous,8,8,8,"{8: 3}"
375,NC_009767,unanimous,3,3,3,"{3: 3}"
376,NC_015656,unanimous,8,8,8,"{8: 3}"
377,NC_015656,unanimous,8,8,8,"{8: 3}"
378,NC_015656,unanimous,8,8,8,"{8: 3}"
379,NC_015656,unanimous,8,8,8,"{8: 3}"
380,NC_009511,unanimous,7,7,7,"{7: 3}"
381,NC_015656,unanimous,8,8,8,"{8: 3}"
382,NC_015656,unanimous,8,8,8,"{8: 3}"
383,NC_015656,unanimous,8,8,8,"{8: 3}"
384,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
385,NC_015859,unanimous,1,1,1,"{1: 3}"
386,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
387,NC_015656,unanimous,8,8,8,"{8: 3}"
388,NC_015656,unanimous,8,8,8,"{8: 3}"
389,NC_009511,unanimous,7,7,7,"{7: 3}"
390,NC_009767,unanimous,3,3,3,"{3: 3}"
391,NC_015859,majority,1,1,7,"{1: 2; 7: 1}"
392,NC_013943,majority,1,0,0,"{1: 1; 0: 2}"
393,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
394,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
395,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
396,NC_015859,unanimous,1,1,1,"{1: 3}"
397,NC_015656,unanimous,8,8,8,"{8: 3}"
398,NC_015656,unanimous,8,8,8,"{8: 3}"
399,NC_009511,unanimous,7,7,7,"{7: 3}"
400,NC_009511,majority,1,7,7,"{1: 1; 7: 2}"
401,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
402,NC_015656,unanimous,8,8,8,"{8: 3}"
403,NC_009767,unanimous,3,3,3,"{3: 3}"
404,NC_015656,unanimous,8,8,8,"{8: 3}"
405,NC_015656,unanimous,8,8,8,"{8: 3}"
406,NC_015656,unanimous,8,8,8,"{8: 3}"
407,NC_015859,unanimous,1,1,1,"{1: 3}"
408,NC_015656,unanimous,8,8,8,"{8: 3}"
409,NC_015656,unanimous,8,8,8,"{8: 3}"
410,NC_015656,unanimous,8,8,8,"{8: 3}"
411,NC_015656,unanimous,8,8,8,"{8: 3}"
412,NC_015656,unanimous,8,8,8,"{8: 3}"
413,NC_008709,unanimous,9,9,9,"{9: 3}"
414,NC_015656,unanimous,8,8,8,"{8: 3}"
415,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
416,NC_009511,unanimous,7,7,7,"{7: 3}"
417,NC_015656,unanimous,8,8,8,"{8: 3}"
418,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
419,NC_015656,unanimous,8,8,8,"{8: 3}"
420,NC_009767,unanimous,3,3,3,"{3: 3}"
421,NC_015859,unanimous,1,1,1,"{1: 3}"
422,NC_009511,unanimous,7,7,7,"{7: 3}"
423,NC_013943,tie_breaker,8,7,0,"{8: 1; 7: 1; 0: 1}"
424,NC_015656,unanimous,8,8,8,"{8: 3}"
425,NC_015656,unanimous,8,8,8,"{8: 3}"
426,NC_015656,unanimous,8,8,8,"{8: 3}"
427,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
428,NC_015859,unanimous,1,1,1,"{1: 3}"
429,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
430,NC_015656,unanimous,8,8,8,"{8: 3}"
431,NC_011138,majority,6,6,7,"{6: 2; 7: 1}"
432,NC_009511,unanimous,7,7,7,"{7: 3}"
433,NC_015656,unanimous,8,8,8,"{8: 3}"
434,NC_015656,unanimous,8,8,8,"{8: 3}"
435,NC_015656,unanimous,8,8,8,"{8: 3}"
436,NC_015859,unanimous,1,1,1,"{1: 3}"
437,NC_015859,unanimous,1,1,1,"{1: 3}"
438,NC_015656,unanimous,8,8,8,"{8: 3}"
439,NC_015656,unanimous,8,8,8,"{8: 3}"
440,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
441,NC_015656,unanimous,8,8,8,"{8: 3}"
442,NC_015656,unanimous,8,8,8,"{8: 3}"
443,NC_009767,unanimous,3,3,3,"{3: 3}"
444,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
445,NC_015859,unanimous,1,1,1,"{1: 3}"
446,NC_009767,majority,8,3,3,"{8: 1; 3: 2}"
447,NC_015656,tie_breaker,3,1,8,"{3: 1; 1: 1; 8: 1}"
448,NC_015656,unanimous,8,8,8,"{8: 3}"
449,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
450,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
451,NC_015656,unanimous,8,8,8,"{8: 3}"
452,NC_015656,unanimous,8,8,8,"{8: 3}"
453,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
454,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
455,NC_009511,unanimous,7,7,7,"{7: 3}"
456,NC_009511,unanimous,7,7,7,"{7: 3}"
457,NC_015656,unanimous,8,8,8,"{8: 3}"
458,NC_015656,unanimous,8,8,8,"{8: 3}"
459,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
460,NC_015859,unanimous,1,1,1,"{1: 3}"
461,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
462,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
463,NC_015859,unanimous,1,1,1,"{1: 3}"
464,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
465,NC_015859,unanimous,1,1,1,"{1: 3}"
466,NC_015656,unanimous,8,8,8,"{8: 3}"
467,NC_009511,unanimous,7,7,7,"{7: 3}"
468,NC_009511,majority,7,8,7,"{7: 2; 8: 1}"
469,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
