sequence_id,predicted_genome,decision_type,k3_prediction,k5_prediction,k7_prediction,vote_counts
66,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
67,NC_015656,majority,8,8,3,"{8: 2; 3: 1}"
68,NC_015656,unanimous,8,8,8,"{8: 3}"
69,NC_015656,unanimous,8,8,8,"{8: 3}"
70,NC_015656,unanimous,8,8,8,"{8: 3}"
71,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
72,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
73,NC_015656,unanimous,8,8,8,"{8: 3}"
74,NC_015656,unanimous,8,8,8,"{8: 3}"
75,NC_015656,unanimous,8,8,8,"{8: 3}"
76,NC_015656,unanimous,8,8,8,"{8: 3}"
77,NC_015656,unanimous,8,8,8,"{8: 3}"
78,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
79,NC_015656,unanimous,8,8,8,"{8: 3}"
80,NC_009767,unanimous,3,3,3,"{3: 3}"
81,NC_015656,unanimous,8,8,8,"{8: 3}"
82,NC_015656,unanimous,8,8,8,"{8: 3}"
83,NC_015656,tie_breaker,3,9,8,"{3: 1; 9: 1; 8: 1}"
84,NC_015656,unanimous,8,8,8,"{8: 3}"
85,NC_015656,unanimous,8,8,8,"{8: 3}"
86,NC_015656,unanimous,8,8,8,"{8: 3}"
87,NC_015656,unanimous,8,8,8,"{8: 3}"
88,NC_015656,unanimous,8,8,8,"{8: 3}"
89,NC_015656,unanimous,8,8,8,"{8: 3}"
90,NC_015656,unanimous,8,8,8,"{8: 3}"
91,NC_015656,tie_breaker,6,9,8,"{6: 1; 9: 1; 8: 1}"
92,NC_015656,unanimous,8,8,8,"{8: 3}"
93,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
94,NC_009511,unanimous,7,7,7,"{7: 3}"
95,NC_015656,unanimous,8,8,8,"{8: 3}"
96,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
97,NC_015656,unanimous,8,8,8,"{8: 3}"
98,NC_015656,unanimous,8,8,8,"{8: 3}"
99,NC_015656,unanimous,8,8,8,"{8: 3}"
100,NC_015656,unanimous,8,8,8,"{8: 3}"
101,NC_015656,unanimous,8,8,8,"{8: 3}"
102,NC_015656,unanimous,8,8,8,"{8: 3}"
103,NC_009511,unanimous,7,7,7,"{7: 3}"
104,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
105,NC_015859,unanimous,1,1,1,"{1: 3}"
106,NC_015656,unanimous,8,8,8,"{8: 3}"
107,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
108,NC_015656,unanimous,8,8,8,"{8: 3}"
109,NC_015656,unanimous,8,8,8,"{8: 3}"
110,NC_015656,unanimous,8,8,8,"{8: 3}"
111,NC_009511,unanimous,7,7,7,"{7: 3}"
112,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
113,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
114,NC_015859,unanimous,1,1,1,"{1: 3}"
115,NC_015656,unanimous,8,8,8,"{8: 3}"
116,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
117,NC_015656,unanimous,8,8,8,"{8: 3}"
118,NC_015656,unanimous,8,8,8,"{8: 3}"
119,NC_015656,unanimous,8,8,8,"{8: 3}"
120,NC_015656,unanimous,8,8,8,"{8: 3}"
121,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
122,NC_015656,unanimous,8,8,8,"{8: 3}"
123,NC_015656,unanimous,8,8,8,"{8: 3}"
124,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
125,NC_015656,unanimous,8,8,8,"{8: 3}"
126,NC_009511,unanimous,7,7,7,"{7: 3}"
127,NC_015656,unanimous,8,8,8,"{8: 3}"
128,NC_015656,unanimous,8,8,8,"{8: 3}"
129,NC_015656,unanimous,8,8,8,"{8: 3}"
130,NC_015656,unanimous,8,8,8,"{8: 3}"
131,NC_015656,majority,8,3,8,"{8: 2; 3: 1}"
132,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
133,NC_015656,unanimous,8,8,8,"{8: 3}"
134,NC_015656,unanimous,8,8,8,"{8: 3}"
135,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
136,NC_015656,unanimous,8,8,8,"{8: 3}"
137,NC_009511,unanimous,7,7,7,"{7: 3}"
138,NC_015656,unanimous,8,8,8,"{8: 3}"
139,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
140,NC_015656,unanimous,8,8,8,"{8: 3}"
141,NC_015656,unanimous,8,8,8,"{8: 3}"
142,NC_009767,majority,3,3,7,"{3: 2; 7: 1}"
143,NC_015656,unanimous,8,8,8,"{8: 3}"
144,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
145,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
146,NC_015656,unanimous,8,8,8,"{8: 3}"
147,NC_015656,unanimous,8,8,8,"{8: 3}"
148,NC_015656,unanimous,8,8,8,"{8: 3}"
149,NC_015859,unanimous,1,1,1,"{1: 3}"
150,NC_015656,unanimous,8,8,8,"{8: 3}"
151,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
152,NC_015656,unanimous,8,8,8,"{8: 3}"
153,NC_015656,unanimous,8,8,8,"{8: 3}"
154,NC_015656,unanimous,8,8,8,"{8: 3}"
155,NC_009511,unanimous,7,7,7,"{7: 3}"
156,NC_015656,unanimous,8,8,8,"{8: 3}"
157,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
158,NC_015859,unanimous,1,1,1,"{1: 3}"
159,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
160,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
161,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
162,NC_015656,unanimous,8,8,8,"{8: 3}"
163,NC_015656,unanimous,8,8,8,"{8: 3}"
164,NC_009511,unanimous,7,7,7,"{7: 3}"
165,NC_015656,unanimous,8,8,8,"{8: 3}"
166,NC_015656,unanimous,8,8,8,"{8: 3}"
167,NC_015656,unanimous,8,8,8,"{8: 3}"
168,NC_015656,unanimous,8,8,8,"{8: 3}"
169,NC_015656,unanimous,8,8,8,"{8: 3}"
170,NC_015656,unanimous,8,8,8,"{8: 3}"
171,NC_015656,unanimous,8,8,8,"{8: 3}"
172,NC_015656,unanimous,8,8,8,"{8: 3}"
173,NC_009511,unanimous,7,7,7,"{7: 3}"
174,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
175,NC_015656,unanimous,8,8,8,"{8: 3}"
176,NC_015656,unanimous,8,8,8,"{8: 3}"
177,NC_015656,unanimous,8,8,8,"{8: 3}"
178,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
179,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
180,NC_015859,unanimous,1,1,1,"{1: 3}"
181,NC_015656,unanimous,8,8,8,"{8: 3}"
182,NC_015656,unanimous,8,8,8,"{8: 3}"
183,NC_015656,unanimous,8,8,8,"{8: 3}"
184,NC_015656,unanimous,8,8,8,"{8: 3}"
185,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
186,NC_015656,unanimous,8,8,8,"{8: 3}"
187,NC_015656,unanimous,8,8,8,"{8: 3}"
188,NC_015656,unanimous,8,8,8,"{8: 3}"
189,NC_015656,unanimous,8,8,8,"{8: 3}"
190,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
191,NC_015656,unanimous,8,8,8,"{8: 3}"
192,NC_015656,unanimous,8,8,8,"{8: 3}"
193,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
194,NC_015656,unanimous,8,8,8,"{8: 3}"
195,NC_015656,unanimous,8,8,8,"{8: 3}"
196,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
197,NC_013943,majority,0,0,8,"{0: 2; 8: 1}"
198,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
199,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
200,NC_015656,unanimous,8,8,8,"{8: 3}"
201,NC_015656,unanimous,8,8,8,"{8: 3}"
202,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
203,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
204,NC_015656,unanimous,8,8,8,"{8: 3}"
205,NC_015656,unanimous,8,8,8,"{8: 3}"
206,NC_015656,unanimous,8,8,8,"{8: 3}"
207,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
208,NC_015656,unanimous,8,8,8,"{8: 3}"
209,NC_015656,unanimous,8,8,8,"{8: 3}"
210,NC_015656,unanimous,8,8,8,"{8: 3}"
211,NC_009767,unanimous,3,3,3,"{3: 3}"
212,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
213,NC_015656,unanimous,8,8,8,"{8: 3}"
214,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
215,NC_015656,unanimous,8,8,8,"{8: 3}"
216,NC_015656,majority,8,3,8,"{8: 2; 3: 1}"
217,NC_009511,unanimous,7,7,7,"{7: 3}"
218,NC_015656,unanimous,8,8,8,"{8: 3}"
219,NC_015656,unanimous,8,8,8,"{8: 3}"
220,NC_015656,tie_breaker,5,0,8,"{5: 1; 0: 1; 8: 1}"
221,NC_015859,unanimous,1,1,1,"{1: 3}"
222,NC_015656,unanimous,8,8,8,"{8: 3}"
223,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
224,NC_015656,unanimous,8,8,8,"{8: 3}"
225,NC_015656,unanimous,8,8,8,"{8: 3}"
226,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
227,NC_015656,unanimous,8,8,8,"{8: 3}"
228,NC_015656,unanimous,8,8,8,"{8: 3}"
229,NC_015656,unanimous,8,8,8,"{8: 3}"
230,NC_015656,unanimous,8,8,8,"{8: 3}"
231,NC_015656,unanimous,8,8,8,"{8: 3}"
232,NC_015656,unanimous,8,8,8,"{8: 3}"
233,NC_015656,unanimous,8,8,8,"{8: 3}"
234,NC_015656,unanimous,8,8,8,"{8: 3}"
235,NC_015656,unanimous,8,8,8,"{8: 3}"
236,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
237,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
238,NC_015656,unanimous,8,8,8,"{8: 3}"
239,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
240,NC_015656,unanimous,8,8,8,"{8: 3}"
241,NC_015656,unanimous,8,8,8,"{8: 3}"
242,NC_015656,unanimous,8,8,8,"{8: 3}"
243,NC_015656,unanimous,8,8,8,"{8: 3}"
244,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
245,NC_015656,unanimous,8,8,8,"{8: 3}"
246,NC_015656,unanimous,8,8,8,"{8: 3}"
247,NC_015859,unanimous,1,1,1,"{1: 3}"
248,NC_015656,unanimous,8,8,8,"{8: 3}"
249,NC_015656,unanimous,8,8,8,"{8: 3}"
250,NC_015656,unanimous,8,8,8,"{8: 3}"
251,NC_015656,unanimous,8,8,8,"{8: 3}"
252,NC_015656,unanimous,8,8,8,"{8: 3}"
253,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
254,NC_015859,unanimous,1,1,1,"{1: 3}"
255,NC_015859,unanimous,1,1,1,"{1: 3}"
256,NC_015656,unanimous,8,8,8,"{8: 3}"
257,NC_015656,unanimous,8,8,8,"{8: 3}"
258,NC_015656,unanimous,8,8,8,"{8: 3}"
259,NC_015656,unanimous,8,8,8,"{8: 3}"
260,NC_015656,unanimous,8,8,8,"{8: 3}"
261,NC_015656,unanimous,8,8,8,"{8: 3}"
262,NC_015656,unanimous,8,8,8,"{8: 3}"
263,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
264,NC_015656,unanimous,8,8,8,"{8: 3}"
265,NC_015656,unanimous,8,8,8,"{8: 3}"
266,NC_015656,unanimous,8,8,8,"{8: 3}"
267,NC_009767,unanimous,3,3,3,"{3: 3}"
268,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
269,NC_015656,unanimous,8,8,8,"{8: 3}"
270,NC_009511,unanimous,7,7,7,"{7: 3}"
271,NC_015656,tie_breaker,7,1,8,"{7: 1; 1: 1; 8: 1}"
272,NC_015656,tie_breaker,9,0,8,"{9: 1; 0: 1; 8: 1}"
273,NC_015656,unanimous,8,8,8,"{8: 3}"
274,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
275,NC_015859,unanimous,1,1,1,"{1: 3}"
276,NC_015656,unanimous,8,8,8,"{8: 3}"
277,NC_015656,unanimous,8,8,8,"{8: 3}"
278,NC_015859,unanimous,1,1,1,"{1: 3}"
279,NC_015656,unanimous,8,8,8,"{8: 3}"
280,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
281,NC_015656,unanimous,8,8,8,"{8: 3}"
282,NC_015656,unanimous,8,8,8,"{8: 3}"
283,NC_015656,unanimous,8,8,8,"{8: 3}"
284,NC_015656,unanimous,8,8,8,"{8: 3}"
285,NC_015656,unanimous,8,8,8,"{8: 3}"
286,NC_015656,unanimous,8,8,8,"{8: 3}"
287,NC_015656,unanimous,8,8,8,"{8: 3}"
288,NC_015859,unanimous,1,1,1,"{1: 3}"
289,NC_009511,unanimous,7,7,7,"{7: 3}"
290,NC_015656,unanimous,8,8,8,"{8: 3}"
291,NC_015656,unanimous,8,8,8,"{8: 3}"
292,NC_015656,unanimous,8,8,8,"{8: 3}"
293,NC_015656,unanimous,8,8,8,"{8: 3}"
294,NC_013943,majority,0,0,8,"{0: 2; 8: 1}"
295,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
296,NC_015656,unanimous,8,8,8,"{8: 3}"
297,NC_015656,unanimous,8,8,8,"{8: 3}"
298,NC_009511,unanimous,7,7,7,"{7: 3}"
299,NC_015656,unanimous,8,8,8,"{8: 3}"
300,NC_015656,unanimous,8,8,8,"{8: 3}"
301,NC_015859,unanimous,1,1,1,"{1: 3}"
302,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
303,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
304,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
305,NC_009511,unanimous,7,7,7,"{7: 3}"
306,NC_015656,unanimous,8,8,8,"{8: 3}"
307,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
308,NC_015656,unanimous,8,8,8,"{8: 3}"
309,NC_015656,unanimous,8,8,8,"{8: 3}"
310,NC_015656,unanimous,8,8,8,"{8: 3}"
311,NC_015859,unanimous,1,1,1,"{1: 3}"
312,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
313,NC_015656,unanimous,8,8,8,"{8: 3}"
314,NC_015656,tie_breaker,3,1,8,"{3: 1; 1: 1; 8: 1}"
315,NC_015859,unanimous,1,1,1,"{1: 3}"
316,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
317,NC_015656,unanimous,8,8,8,"{8: 3}"
318,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
319,NC_015656,unanimous,8,8,8,"{8: 3}"
320,NC_015656,unanimous,8,8,8,"{8: 3}"
321,NC_015656,unanimous,8,8,8,"{8: 3}"
322,NC_015656,unanimous,8,8,8,"{8: 3}"
323,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
324,NC_015656,unanimous,8,8,8,"{8: 3}"
325,NC_015859,unanimous,1,1,1,"{1: 3}"
326,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
327,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
328,NC_015656,unanimous,8,8,8,"{8: 3}"
329,NC_015859,unanimous,1,1,1,"{1: 3}"
330,NC_015656,unanimous,8,8,8,"{8: 3}"
331,NC_015656,unanimous,8,8,8,"{8: 3}"
332,NC_015656,unanimous,8,8,8,"{8: 3}"
333,NC_015656,unanimous,8,8,8,"{8: 3}"
334,NC_015859,unanimous,1,1,1,"{1: 3}"
335,NC_009767,majority,8,3,3,"{8: 1; 3: 2}"
336,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
337,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
338,NC_015859,unanimous,1,1,1,"{1: 3}"
339,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
340,NC_015656,unanimous,8,8,8,"{8: 3}"
341,NC_015859,unanimous,1,1,1,"{1: 3}"
342,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
343,NC_015656,unanimous,8,8,8,"{8: 3}"
344,NC_015656,unanimous,8,8,8,"{8: 3}"
345,NC_015656,unanimous,8,8,8,"{8: 3}"
346,NC_009511,unanimous,7,7,7,"{7: 3}"
347,NC_015656,unanimous,8,8,8,"{8: 3}"
348,NC_015656,unanimous,8,8,8,"{8: 3}"
349,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
350,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
351,NC_013943,majority,0,0,8,"{0: 2; 8: 1}"
352,NC_015656,unanimous,8,8,8,"{8: 3}"
353,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
354,NC_015859,unanimous,1,1,1,"{1: 3}"
355,NC_015656,unanimous,8,8,8,"{8: 3}"
356,NC_015859,majority,3,1,1,"{3: 1; 1: 2}"
357,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
358,NC_015656,unanimous,8,8,8,"{8: 3}"
359,NC_015656,unanimous,8,8,8,"{8: 3}"
360,NC_015656,unanimous,8,8,8,"{8: 3}"
361,NC_015656,unanimous,8,8,8,"{8: 3}"
362,NC_015656,unanimous,8,8,8,"{8: 3}"
363,NC_015656,unanimous,8,8,8,"{8: 3}"
364,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
365,NC_015656,unanimous,8,8,8,"{8: 3}"
366,NC_015656,unanimous,8,8,8,"{8: 3}"
367,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
368,NC_015656,unanimous,8,8,8,"{8: 3}"
369,NC_015656,unanimous,8,8,8,"{8: 3}"
370,NC_015656,unanimous,8,8,8,"{8: 3}"
371,NC_009511,unanimous,7,7,7,"{7: 3}"
372,NC_015656,unanimous,8,8,8,"{8: 3}"
373,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
374,NC_015656,unanimous,8,8,8,"{8: 3}"
375,NC_015656,unanimous,8,8,8,"{8: 3}"
376,NC_015656,unanimous,8,8,8,"{8: 3}"
377,NC_015656,unanimous,8,8,8,"{8: 3}"
378,NC_015656,unanimous,8,8,8,"{8: 3}"
379,NC_015656,unanimous,8,8,8,"{8: 3}"
380,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
381,NC_015656,unanimous,8,8,8,"{8: 3}"
382,NC_015656,unanimous,8,8,8,"{8: 3}"
383,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
384,NC_015656,unanimous,8,8,8,"{8: 3}"
385,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
386,NC_015656,unanimous,8,8,8,"{8: 3}"
387,NC_015656,unanimous,8,8,8,"{8: 3}"
388,NC_015656,unanimous,8,8,8,"{8: 3}"
389,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
390,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
391,NC_015859,majority,1,1,7,"{1: 2; 7: 1}"
392,NC_013943,unanimous,0,0,0,"{0: 3}"
393,NC_015656,unanimous,8,8,8,"{8: 3}"
394,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
395,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
396,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
397,NC_015656,unanimous,8,8,8,"{8: 3}"
398,NC_015656,unanimous,8,8,8,"{8: 3}"
399,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
400,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
401,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
402,NC_015656,unanimous,8,8,8,"{8: 3}"
403,NC_009767,unanimous,3,3,3,"{3: 3}"
404,NC_015656,unanimous,8,8,8,"{8: 3}"
405,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
406,NC_015656,unanimous,8,8,8,"{8: 3}"
407,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
408,NC_015656,unanimous,8,8,8,"{8: 3}"
409,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
410,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
411,NC_015656,unanimous,8,8,8,"{8: 3}"
412,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
413,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
414,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
415,NC_015656,unanimous,8,8,8,"{8: 3}"
416,NC_009511,unanimous,7,7,7,"{7: 3}"
417,NC_015656,unanimous,8,8,8,"{8: 3}"
418,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
419,NC_015656,unanimous,8,8,8,"{8: 3}"
420,NC_015656,unanimous,8,8,8,"{8: 3}"
421,NC_015656,unanimous,8,8,8,"{8: 3}"
422,NC_015656,unanimous,8,8,8,"{8: 3}"
423,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
424,NC_015656,unanimous,8,8,8,"{8: 3}"
425,NC_015656,unanimous,8,8,8,"{8: 3}"
426,NC_015656,unanimous,8,8,8,"{8: 3}"
427,NC_015656,unanimous,8,8,8,"{8: 3}"
428,NC_015656,tie_breaker,1,3,8,"{1: 1; 3: 1; 8: 1}"
429,NC_015656,unanimous,8,8,8,"{8: 3}"
430,NC_015656,unanimous,8,8,8,"{8: 3}"
431,NC_015656,tie_breaker,6,7,8,"{6: 1; 7: 1; 8: 1}"
432,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
433,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
434,NC_015656,unanimous,8,8,8,"{8: 3}"
435,NC_015656,tie_breaker,7,1,8,"{7: 1; 1: 1; 8: 1}"
436,NC_015656,unanimous,8,8,8,"{8: 3}"
437,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
438,NC_015656,unanimous,8,8,8,"{8: 3}"
439,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
440,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
441,NC_015656,unanimous,8,8,8,"{8: 3}"
442,NC_015656,unanimous,8,8,8,"{8: 3}"
443,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
444,NC_015656,unanimous,8,8,8,"{8: 3}"
445,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
446,NC_015859,tie_breaker,3,8,1,"{3: 1; 8: 1; 1: 1}"
447,NC_015656,unanimous,8,8,8,"{8: 3}"
448,NC_015656,unanimous,8,8,8,"{8: 3}"
449,NC_015656,unanimous,8,8,8,"{8: 3}"
450,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
451,NC_015656,unanimous,8,8,8,"{8: 3}"
452,NC_015656,unanimous,8,8,8,"{8: 3}"
453,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
454,NC_015656,unanimous,8,8,8,"{8: 3}"
455,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
456,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
457,NC_015656,unanimous,8,8,8,"{8: 3}"
458,NC_015656,unanimous,8,8,8,"{8: 3}"
459,NC_015656,unanimous,8,8,8,"{8: 3}"
460,NC_015656,unanimous,8,8,8,"{8: 3}"
461,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
462,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
463,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
464,NC_015656,unanimous,8,8,8,"{8: 3}"
465,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
466,NC_015656,unanimous,8,8,8,"{8: 3}"
467,NC_015656,unanimous,8,8,8,"{8: 3}"
468,NC_015656,unanimous,8,8,8,"{8: 3}"
469,NC_015656,unanimous,8,8,8,"{8: 3}"
470,NC_015656,unanimous,8,8,8,"{8: 3}"
